alg_name,K,n,bidirectional_bool,anti_signal_velocity,residual_signal_velocity,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,int64,int64,bool,bool,float64,int64,int64,int64
Signal,9,9,True,3,3,True,True,0.02,105,19840000,0
Signal,9,9,True,3,3,True,True,0.02,439,19840000,1
Signal,9,9,True,3,3,True,True,0.02,1095,19840000,2
Signal,9,9,True,3,3,True,True,0.02,2118,19840000,3
Signal,9,9,True,3,3,True,True,0.02,3229,19840000,4
Signal,9,9,True,3,3,True,True,0.02,4458,19840000,5
Signal,9,9,True,3,3,True,True,0.02,5680,19840000,6
Signal,9,9,True,3,3,True,True,0.02,7005,19840000,7
Signal,9,9,True,3,3,True,True,0.02,8280,19840000,8
Signal,9,9,True,3,3,True,True,0.02,9696,19840000,9
Signal,9,9,True,3,3,True,True,0.02,11034,19840000,10
Signal,9,9,True,3,3,True,True,0.02,12339,19840000,11
Signal,9,9,True,3,3,True,True,0.02,13699,19840000,12
Signal,9,9,True,3,3,True,True,0.02,15050,19840000,13
Signal,9,9,True,3,3,True,True,0.02,16471,19840000,14
Signal,9,9,True,3,3,True,True,0.02,17912,19840000,15
Signal,9,9,True,3,3,True,True,0.02,19181,19840000,16
Signal,9,9,True,3,3,True,True,0.02,20561,19840000,17
Signal,9,9,True,3,3,True,True,0.02,21841,19840000,18
Signal,9,9,True,3,3,True,True,0.02,23318,19840000,19
Signal,9,9,True,3,3,True,True,0.02,24672,19840000,20
Signal,9,9,True,3,3,True,True,0.02,25959,19840000,21
Signal,9,9,True,3,3,True,True,0.02,27364,19840000,22
Signal,9,9,True,3,3,True,True,0.02,28632,19840000,23
Signal,9,9,True,3,3,True,True,0.02,30062,19840000,24
Signal,9,9,True,3,3,True,True,0.02,31396,19840000,25
Signal,9,9,True,3,3,True,True,0.02,32696,19840000,26
Signal,9,9,True,3,3,True,True,0.02,34082,19840000,27
Signal,9,9,True,3,3,True,True,0.02,35480,19840000,28
Signal,9,9,True,3,3,True,True,0.02,36779,19840000,29
Signal,9,9,True,3,3,True,True,0.02,38113,19840000,30
Signal,9,9,True,3,3,True,True,0.02,39456,19840000,31
