alg_name,K,n,bidirectional_bool,anti_signal_velocity,residual_signal_velocity,error_bool,meas_error_bool,error_rate,meas_error_rate,positive,number_of_runs,T
object,int64,int64,bool,int64,int64,bool,bool,float64,float64,int64,int64,int64
Signal,9,9,True,3,3,True,True,0.005,0.005,100,861440,1000
Signal,15,15,True,3,3,True,True,0.005,0.005,4,3189760,1000
Signal,25,25,True,3,3,True,True,0.005,0.005,0,3205120,1000
Signal,9,9,True,3,3,True,True,0.005,0.01,100,257280,1000
Signal,15,15,True,3,3,True,True,0.005,0.01,13,3198400,1000
Signal,25,25,True,3,3,True,True,0.005,0.01,0,5208320,1000
Signal,9,9,True,3,3,True,True,0.005,0.015,100,86720,1000
Signal,15,15,True,3,3,True,True,0.005,0.015,57,3151360,1000
Signal,25,25,True,3,3,True,True,0.005,0.015,1,3256000,1000
Signal,9,9,True,3,3,True,True,0.005,0.02,101,34560,1000
Signal,15,15,True,3,3,True,True,0.005,0.02,101,966080,1000
Signal,25,25,True,3,3,True,True,0.005,0.02,8,4093760,1000
Signal,9,9,True,3,3,True,True,0.005,0.025,100,16960,1000
Signal,15,15,True,3,3,True,True,0.005,0.025,100,323200,1000
Signal,25,25,True,3,3,True,True,0.005,0.025,33,3879040,1000
Signal,9,9,True,3,3,True,True,0.005,0.03,102,8960,1000
Signal,15,15,True,3,3,True,True,0.005,0.03,100,109120,1000
Signal,25,25,True,3,3,True,True,0.005,0.03,29,1078720,1000
Signal,9,9,True,3,3,True,True,0.005,0.035,108,5120,1000
Signal,15,15,True,3,3,True,True,0.005,0.035,100,44480,1000
Signal,25,25,True,3,3,True,True,0.005,0.035,100,622720,1000
Signal,9,9,True,3,3,True,True,0.005,0.04,111,2880,1000
Signal,15,15,True,3,3,True,True,0.005,0.04,102,18240,1000
Signal,25,25,True,3,3,True,True,0.005,0.04,101,201920,1000
Signal,9,9,True,3,3,True,True,0.01,0.005,100,85120,1000
Signal,15,15,True,3,3,True,True,0.01,0.005,88,5628800,1000
Signal,25,25,True,3,3,True,True,0.01,0.005,0,3004800,1000
Signal,9,9,True,3,3,True,True,0.01,0.01,100,35200,1000
Signal,15,15,True,3,3,True,True,0.01,0.01,100,1512000,1000
Signal,25,25,True,3,3,True,True,0.01,0.01,3,3158080,1000
Signal,9,9,True,3,3,True,True,0.01,0.015,101,18240,1000
Signal,15,15,True,3,3,True,True,0.01,0.015,100,493440,1000
Signal,25,25,True,3,3,True,True,0.01,0.015,6,3212800,1000
Signal,9,9,True,3,3,True,True,0.01,0.02,102,8640,1000
Signal,15,15,True,3,3,True,True,0.01,0.02,100,161280,1000
Signal,25,25,True,3,3,True,True,0.01,0.02,60,3183680,1000
Signal,9,9,True,3,3,True,True,0.01,0.025,103,5120,1000
Signal,15,15,True,3,3,True,True,0.01,0.025,101,66560,1000
Signal,25,25,True,3,3,True,True,0.01,0.025,100,1261440,1000
Signal,9,9,True,3,3,True,True,0.01,0.03,108,3200,1000
Signal,15,15,True,3,3,True,True,0.01,0.03,100,27200,1000
Signal,25,25,True,3,3,True,True,0.01,0.03,100,402880,1000
Signal,9,9,True,3,3,True,True,0.01,0.035,108,1920,1000
Signal,15,15,True,3,3,True,True,0.01,0.035,100,14720,1000
Signal,25,25,True,3,3,True,True,0.01,0.035,100,129600,1000
Signal,9,9,True,3,3,True,True,0.01,0.04,117,1280,1000
Signal,15,15,True,3,3,True,True,0.01,0.04,100,5440,1000
Signal,25,25,True,3,3,True,True,0.01,0.04,100,51520,1000
Signal,9,9,True,3,3,True,True,0.015,0.005,100,19840,1000
Signal,15,15,True,3,3,True,True,0.015,0.005,100,987520,1000
Signal,25,25,True,3,3,True,True,0.015,0.005,8,5052160,1000
Signal,9,9,True,3,3,True,True,0.015,0.01,103,9600,1000
Signal,15,15,True,3,3,True,True,0.015,0.01,100,226560,1000
Signal,25,25,True,3,3,True,True,0.015,0.01,38,4652480,1000
Signal,9,9,True,3,3,True,True,0.015,0.015,108,6080,1000
Signal,15,15,True,3,3,True,True,0.015,0.015,100,101760,1000
Signal,25,25,True,3,3,True,True,0.015,0.015,100,2626880,1000
Signal,9,9,True,3,3,True,True,0.015,0.02,101,3200,1000
Signal,15,15,True,3,3,True,True,0.015,0.02,100,40960,1000
Signal,25,25,True,3,3,True,True,0.015,0.02,100,668480,1000
Signal,9,9,True,3,3,True,True,0.015,0.025,110,2240,1000
Signal,15,15,True,3,3,True,True,0.015,0.025,100,15040,1000
Signal,25,25,True,3,3,True,True,0.015,0.025,100,246080,1000
Signal,9,9,True,3,3,True,True,0.015,0.03,118,1600,1000
Signal,15,15,True,3,3,True,True,0.015,0.03,102,8320,1000
Signal,25,25,True,3,3,True,True,0.015,0.03,101,85760,1000
Signal,9,9,True,3,3,True,True,0.015,0.035,105,960,1000
Signal,15,15,True,3,3,True,True,0.015,0.035,108,5760,1000
Signal,25,25,True,3,3,True,True,0.015,0.035,100,35840,1000
Signal,9,9,True,3,3,True,True,0.015,0.04,104,640,1000
Signal,15,15,True,3,3,True,True,0.015,0.04,100,2560,1000
Signal,25,25,True,3,3,True,True,0.015,0.04,100,17600,1000
Signal,9,9,True,3,3,True,True,0.02,0.005,104,6400,1000
Signal,15,15,True,3,3,True,True,0.02,0.005,100,149120,1000
Signal,25,25,True,3,3,True,True,0.02,0.005,57,2904960,1000
Signal,9,9,True,3,3,True,True,0.02,0.01,100,3520,1000
Signal,15,15,True,3,3,True,True,0.02,0.01,100,63680,1000
Signal,25,25,True,3,3,True,True,0.02,0.01,100,1635200,1000
Signal,9,9,True,3,3,True,True,0.02,0.015,102,2240,1000
Signal,15,15,True,3,3,True,True,0.02,0.015,100,22720,1000
Signal,25,25,True,3,3,True,True,0.02,0.015,100,448960,1000
Signal,9,9,True,3,3,True,True,0.02,0.02,101,1600,1000
Signal,15,15,True,3,3,True,True,0.02,0.02,100,15680,1000
Signal,25,25,True,3,3,True,True,0.02,0.02,100,179840,1000
Signal,9,9,True,3,3,True,True,0.02,0.025,130,1600,1000
Signal,15,15,True,3,3,True,True,0.02,0.025,104,8640,1000
Signal,25,25,True,3,3,True,True,0.02,0.025,100,60480,1000
Signal,9,9,True,3,3,True,True,0.02,0.03,132,960,1000
Signal,15,15,True,3,3,True,True,0.02,0.03,103,4480,1000
Signal,25,25,True,3,3,True,True,0.02,0.03,100,29120,1000
Signal,9,9,True,3,3,True,True,0.02,0.035,160,960,1000
Signal,15,15,True,3,3,True,True,0.02,0.035,112,2560,1000
Signal,25,25,True,3,3,True,True,0.02,0.035,101,12800,1000
Signal,9,9,True,3,3,True,True,0.02,0.04,187,1280,500
Signal,15,15,True,3,3,True,True,0.02,0.04,115,1280,1000
Signal,25,25,True,3,3,True,True,0.02,0.04,104,6400,1000
Signal,9,9,True,3,3,True,True,0.025,0.005,105,2880,1000
Signal,15,15,True,3,3,True,True,0.025,0.005,101,40000,1000
Signal,25,25,True,3,3,True,True,0.025,0.005,100,1145600,1000
Signal,9,9,True,3,3,True,True,0.025,0.01,105,1920,1000
Signal,15,15,True,3,3,True,True,0.025,0.01,101,19200,1000
Signal,25,25,True,3,3,True,True,0.025,0.01,100,327680,1000
