alg_name,K,n,error_bool,meas_error_bool,error_rate,positive,number_of_runs,T
object,int64,int64,bool,bool,float64,int64,int64,int64
Signal,9,9,True,True,0.02,0,19648,0
Signal,9,9,True,True,0.02,1276,19648,1000
Signal,9,9,True,True,0.02,2289,19648,2000
Signal,9,9,True,True,0.02,3216,19648,3000
Signal,9,9,True,True,0.02,4087,19648,4000
Signal,9,9,True,True,0.02,4884,19648,5000
Signal,9,9,True,True,0.02,5546,19648,6000
Signal,9,9,True,True,0.02,6097,19648,7000
Signal,9,9,True,True,0.02,6615,19648,8000
Signal,9,9,True,True,0.02,7022,19648,9000
Signal,9,9,True,True,0.02,7365,19648,10000
Signal,9,9,True,True,0.02,7700,19648,11000
Signal,9,9,True,True,0.02,7985,19648,12000
Signal,9,9,True,True,0.02,8235,19648,13000
Signal,9,9,True,True,0.02,8483,19648,14000
Signal,9,9,True,True,0.02,8636,19648,15000
Signal,9,9,True,True,0.02,8813,19648,16000
Signal,9,9,True,True,0.02,8990,19648,17000
Signal,9,9,True,True,0.02,9096,19648,18000
Signal,9,9,True,True,0.02,9248,19648,19000
Signal,9,9,True,True,0.02,9342,19648,20000
Signal,9,9,True,True,0.02,9395,19648,21000
Signal,9,9,True,True,0.02,9394,19648,22000
Signal,9,9,True,True,0.02,9469,19648,23000
Signal,9,9,True,True,0.02,9516,19648,24000
Signal,9,9,True,True,0.02,9508,19648,25000
Signal,9,9,True,True,0.02,9570,19648,26000
Signal,9,9,True,True,0.02,9647,19648,27000
Signal,9,9,True,True,0.02,9660,19648,28000
Signal,9,9,True,True,0.02,9670,19648,29000
Signal,9,9,True,True,0.02,9633,19648,30000
Signal,9,9,True,True,0.02,9673,19648,31000
Signal,9,9,True,True,0.02,9695,19648,32000
Signal,9,9,True,True,0.02,9691,19648,33000
Signal,9,9,True,True,0.02,9749,19648,34000
Signal,9,9,True,True,0.02,9699,19648,35000
Signal,9,9,True,True,0.02,9705,19648,36000
Signal,9,9,True,True,0.02,9734,19648,37000
Signal,9,9,True,True,0.02,9791,19648,38000
Signal,9,9,True,True,0.02,9782,19648,39000
Signal,9,9,True,True,0.02,9780,19648,40000
Signal,9,9,True,True,0.02,9789,19648,41000
Signal,9,9,True,True,0.02,9784,19648,42000
Signal,9,9,True,True,0.02,9770,19648,43000
Signal,9,9,True,True,0.02,9812,19648,44000
Signal,9,9,True,True,0.02,9837,19648,45000
Signal,9,9,True,True,0.02,9836,19648,46000
Signal,9,9,True,True,0.02,9822,19648,47000
Signal,9,9,True,True,0.02,9804,19648,48000
Signal,9,9,True,True,0.02,9867,19648,49000
Signal,9,9,True,True,0.02,9826,19648,50000
Signal,9,9,True,True,0.02,9772,19648,51000
Signal,9,9,True,True,0.02,9753,19648,52000
Signal,9,9,True,True,0.02,9752,19648,53000
Signal,9,9,True,True,0.02,9743,19648,54000
Signal,9,9,True,True,0.02,9748,19648,55000
Signal,9,9,True,True,0.02,9750,19648,56000
Signal,9,9,True,True,0.02,9758,19648,57000
Signal,9,9,True,True,0.02,9758,19648,58000
Signal,9,9,True,True,0.02,9776,19648,59000
