T,K,error_rate,meas_error_rate,init_var,anti_signal_velocity,backward_signal_velocity,init_data_array,error_bool,meas_error_bool,id_error_rate,bidirectional_bool,alg_name,dim_var,boundary_var,n,number_of_runs,M,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
int64,int64,float64,float64,object,int64,int64,object,bool,bool,bool,bool,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64
1000,9,0.01,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,9,7200000,50,6003929723,1172046246,22254571,1245264,411963,81374,28769,1635,431,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,15,0.01,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,15,7000000,50,5171369353,1789868930,35957114,1974635,644272,125625,44191,9865,4210,1136,482,141,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,25,0.01,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,25,5200000,50,3139411665,2012687072,44443719,2436430,794009,154538,53719,11676,5010,1283,582,175,82,23,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,50,0.01,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,50,5100000,50,1859194215,3147305421,86712806,4780765,1560193,303300,106548,22953,9737,2491,1027,326,137,53,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,100,0.01,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,100,7400000,50,983791718,6147313306,249196145,13875685,4529365,879106,308092,66561,28080,7363,3111,912,368,107,54,16,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,9,0.001,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,9,5400000,50,5303676473,96173983,148618,717,201,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,15,0.001,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,15,6900000,50,6696084441,203599188,314467,1470,422,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,25,0.001,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,25,5300000,50,5041525870,258068485,403029,1969,599,33,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,50,0.001,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,50,5200000,50,4705139369,494061656,794097,3797,1046,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,100,0.001,0.2,Zeros,3,3,[],True,True,True,True,Signal,1D,Periodic,100,4900000,50,4011770718,886731273,1488921,7035,1983,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
